date      ,zone              ,cumulative_Chile_infections,Chile_new_infections,new_infections_with_symptoms,new_infections_without_symptoms,deceased,%_Chile
2020-05-20, O’Higgins, 442, 24, 13, 11, 7, 0.89
2020-05-20, Maule, 640, 38, 33, 5, 14, 1.29
2020-05-20, Ñuble, 988, 3, 3, 0, 21, 1.99
2020-05-20, Biobío, 1172, 28, 25, 3, 9, 2.36
2020-05-20, Araucanía, 1666, 27, 18, 9, 44, 3.36
2020-05-20, Los Ríos, 229, 5, 4, 1, 6, 0.46
2020-05-20, Los Lagos, 656, 4, 2, 2, 12, 1.32
2020-05-20, Aysén, 8, 0, 0, 0, 0, 0.02
2020-05-20, Magallanes, 972, 1, 1, 0, 17, 1.96
2020-05-20, Chile, 49579, 3520, 3099, 421, 509, 100.0
2020-05-20, Arica y Parinacota, 424, 2, 2, 0, 7, 0.79
2020-05-20, Tarapacá, 1139, 30, 28, 2, 4, 2.12
2020-05-20, Antofagasta, 1731, 83, 51, 32, 17, 3.23
2020-05-20, Atacama, 163, 5, 3, 2, 0, 0.3
2020-05-20, Coquimbo, 263, 24, 13, 11, 2, 0.49
2020-05-20, Valparaíso, 1770, 131, 107, 24, 35, 3.3
2020-05-20, Metropolitana, 41179, 3588, 3298, 290, 348, 76.8
2020-05-20, O’Higgins, 455, 13, 11, 2, 7, 0.85
2020-05-20, Maule, 680, 40, 29, 11, 14, 1.27
2020-05-20, Ñuble, 1011, 23, 20, 3, 21, 1.89
2020-05-20, Biobío, 1224, 52, 43, 9, 9, 2.28
2020-05-20, Araucanía, 1680, 14, 10, 4, 44, 3.13
2020-05-20, Los Ríos, 247, 18, 17, 1, 6, 0.46
2020-05-20, Los Lagos, 666, 10, 10, 0, 12, 1.24
2020-05-20, Aysén, 8, 0, 0, 0, 0, 0.01
2020-05-20, Magallanes, 977, 5, 5, 0, 18, 1.82
2020-05-20, Chile, 53617, 4038, 3647, 391, 544, 100.0
